id,aspect_ratio,energy,orientation,overhang,status,wwr,glass_id,request_id,slave_id
214744,5,119,0,34,completed,0.3,107,10,4
214745,5,117,0,45,completed,0.3,107,10,4
214746,5,108,0,1,completed,0.3,104,10,4
214747,5,107,0,12,completed,0.3,104,10,4
214748,5,107,0,23,completed,0.3,104,10,4
214749,5,106,0,34,completed,0.3,104,10,4
214750,5,106,0,45,completed,0.3,104,10,4
214751,5,117,0,1,completed,0.3,103,10,4
214752,5,116,0,12,completed,0.3,103,10,4
214753,5,115,0,23,completed,0.3,103,10,4
214754,5,113,0,34,completed,0.3,103,10,4
214755,5,112,0,45,completed,0.3,103,10,4
214756,5,122,0,1,completed,0.3,105,10,4
214757,5,120,0,12,completed,0.3,105,10,4
214758,5,119,0,23,completed,0.3,105,10,4
214759,5,117,0,34,completed,0.3,105,10,4
214760,5,116,0,45,completed,0.3,105,10,4
214761,1,106,0,1,completed,0.4,108,10,4
214762,1,106,0,12,completed,0.4,108,10,4
214763,1,105,0,23,completed,0.4,108,10,4
214764,1,104,0,34,completed,0.4,108,10,4
214765,1,104,0,45,completed,0.4,108,10,4
214766,1,105,0,1,completed,0.4,106,10,4
214767,1,105,0,12,completed,0.4,106,10,4
214768,1,104,0,23,completed,0.4,106,10,4
214769,1,104,0,34,completed,0.4,106,10,4
214770,1,103,0,45,completed,0.4,106,10,4
214771,1,120,0,1,completed,0.4,107,10,4
214772,1,119,0,12,completed,0.4,107,10,4
214773,1,117,0,23,completed,0.4,107,10,4
214774,1,116,0,34,completed,0.4,107,10,4
214775,1,114,0,45,completed,0.4,107,10,4
214776,1,106,0,1,completed,0.4,104,10,4
214777,1,106,0,12,completed,0.4,104,10,4
214778,1,105,0,23,completed,0.4,104,10,4
214779,1,104,0,34,completed,0.4,104,10,4
214780,1,104,0,45,completed,0.4,104,10,4
214781,1,115,0,1,completed,0.4,103,10,4
214782,1,114,0,12,completed,0.4,103,10,4
214783,1,112,0,23,completed,0.4,103,10,4
214784,1,111,0,34,completed,0.4,103,10,4
214785,1,110,0,45,completed,0.4,103,10,4
214786,1,118,0,1,completed,0.4,105,10,4
214787,1,117,0,12,completed,0.4,105,10,4
214788,1,116,0,23,completed,0.4,105,10,4
214789,1,115,0,34,completed,0.4,105,10,4
214790,1,113,0,45,completed,0.4,105,10,5
214791,2,107,0,1,completed,0.4,108,10,5
214792,2,106,0,12,completed,0.4,108,10,5
214793,2,106,0,23,completed,0.4,108,10,5
214794,2,105,0,34,completed,0.4,108,10,5
214795,2,104,0,45,completed,0.4,108,10,5
214796,2,106,0,1,completed,0.4,106,10,5
214797,2,105,0,12,completed,0.4,106,10,5
214798,2,105,0,23,completed,0.4,106,10,5
214799,2,104,0,34,completed,0.4,106,10,5
214800,2,104,0,45,completed,0.4,106,10,5
214801,2,122,0,1,completed,0.4,107,10,5
214802,2,120,0,12,completed,0.4,107,10,5
214803,2,119,0,23,completed,0.4,107,10,5
214804,2,117,0,34,completed,0.4,107,10,5
214805,2,115,0,45,completed,0.4,107,10,5
214806,2,107,0,1,completed,0.4,104,10,5
214807,2,106,0,12,completed,0.4,104,10,5
214808,2,106,0,23,completed,0.4,104,10,5
214809,2,105,0,34,completed,0.4,104,10,5
214810,2,104,0,45,completed,0.4,104,10,5
214811,2,116,0,1,completed,0.4,103,10,5
214812,2,114,0,12,completed,0.4,103,10,5
214813,2,113,0,23,completed,0.4,103,10,5
214814,2,112,0,34,completed,0.4,103,10,5
214815,2,110,0,45,completed,0.4,103,10,5
214816,2,120,0,1,completed,0.4,105,10,5
214817,2,118,0,12,completed,0.4,105,10,5
214818,2,117,0,23,completed,0.4,105,10,5
214819,2,116,0,34,completed,0.4,105,10,5
214820,2,114,0,45,completed,0.4,105,10,5
214821,3,108,0,1,completed,0.4,108,10,5
214822,3,107,0,12,completed,0.4,108,10,5
214823,3,106,0,23,completed,0.4,108,10,5
214824,3,106,0,34,completed,0.4,108,10,5
214825,3,105,0,45,completed,0.4,108,10,5
214826,3,107,0,1,completed,0.4,106,10,5
214827,3,106,0,12,completed,0.4,106,10,5
214828,3,105,0,23,completed,0.4,106,10,5
214829,3,105,0,34,completed,0.4,106,10,5
214830,3,104,0,45,completed,0.4,106,10,5
214831,3,124,0,1,completed,0.4,107,10,5
214832,3,123,0,12,completed,0.4,107,10,5
214833,3,121,0,23,completed,0.4,107,10,5
214834,3,119,0,34,completed,0.4,107,10,5
214835,3,117,0,45,completed,0.4,107,10,5
214836,3,108,0,1,completed,0.4,104,10,5
214837,3,107,0,12,completed,0.4,104,10,5
214838,3,106,0,23,completed,0.4,104,10,5
214839,3,106,0,34,completed,0.4,104,10,5
214840,3,105,0,45,completed,0.4,104,10,5
214841,3,117,0,1,completed,0.4,103,10,5
214842,3,116,0,12,completed,0.4,103,10,5
214843,3,115,0,23,completed,0.4,103,10,5
214844,3,113,0,34,completed,0.4,103,10,5
214845,3,112,0,45,completed,0.4,103,10,5
214846,3,122,0,1,completed,0.4,105,10,5
214847,3,121,0,12,completed,0.4,105,10,5
214848,3,119,0,23,completed,0.4,105,10,5
214849,3,118,0,34,completed,0.4,105,10,5
214850,3,116,0,45,completed,0.4,105,10,5
214851,4,109,0,1,completed,0.4,108,10,5
214852,4,108,0,12,completed,0.4,108,10,5
214853,4,107,0,23,completed,0.4,108,10,5
214854,4,107,0,34,completed,0.4,108,10,5
214855,4,106,0,45,completed,0.4,108,10,5
214856,4,107,0,1,completed,0.4,106,10,5
214857,4,107,0,12,completed,0.4,106,10,5
214858,4,106,0,23,completed,0.4,106,10,5
214859,4,106,0,34,completed,0.4,106,10,5
214860,4,105,0,45,completed,0.4,106,10,5
214861,4,126,0,1,completed,0.4,107,10,5
214862,4,125,0,12,completed,0.4,107,10,5
214863,4,123,0,23,completed,0.4,107,10,5
214864,4,121,0,34,completed,0.4,107,10,5
214865,4,119,0,45,completed,0.4,107,10,5
214866,4,109,0,1,completed,0.4,104,10,5
214867,4,108,0,12,completed,0.4,104,10,5
214868,4,107,0,23,completed,0.4,104,10,5
214869,4,107,0,34,completed,0.4,104,10,5
214870,4,106,0,45,completed,0.4,104,10,5
214871,4,119,0,1,completed,0.4,103,10,5
214872,4,118,0,12,completed,0.4,103,10,5
214873,4,116,0,23,completed,0.4,103,10,5
214874,4,115,0,34,completed,0.4,103,10,5
214875,4,113,0,45,completed,0.4,103,10,5
214876,4,124,0,1,completed,0.4,105,10,5
214877,4,123,0,12,completed,0.4,105,10,5
214878,4,121,0,23,completed,0.4,105,10,5
214879,4,120,0,34,completed,0.4,105,10,5
214880,4,118,0,45,completed,0.4,105,10,5
214881,5,110,0,1,completed,0.4,108,10,5
214882,5,109,0,12,completed,0.4,108,10,5
214883,5,108,0,23,completed,0.4,108,10,5
214884,5,107,0,34,completed,0.4,108,10,5
